date,ticker,pattern,score,structure,volume,readiness,regime,accum_ratio,volume_ratio,height_pct,touches,hold_return,hold_win,mfe,mae,market_return,market_beat,traded,trade_return,exit_reason
2023-04-14,BKNG,flat_base,27.5,13.0,5.6,8.8,bull_medium,0.538,0.76,18.6,0,0.02064604228081146,True,0.034149304494367705,-0.020767686503166405,0.004807374728515557,True,True,-0.03552953563458583,stop
2023-04-14,GOOG,bull_flag,27.3,6.9,10.4,10.0,bull_medium,0.692,0.63,8.5,0,0.02646313419190327,True,0.035284070279616,-0.020487467387340752,0.004807374728515557,True,False,,no_trigger
2023-04-14,CMCSA,ascending_triangle,27.3,7.3,11.0,9.0,bull_medium,0.769,0.84,8.4,2,0.0889711984600201,True,0.09028731751472319,-0.04211624632165745,0.004807374728515557,True,True,-0.04324063170152237,stop
2023-04-14,AAPL,volatility_compression,27.2,6.9,12.3,8.0,bull_medium,0.846,0.82,7.7,0,0.0278028265480057,True,0.028832649091140805,-0.01387128710991048,0.004807374728515557,True,True,0.015082924613076587,time
2023-04-14,CMCSA,volatility_compression,27.2,8.1,12.6,6.5,bull_medium,0.769,0.84,9.8,0,0.0889711984600201,True,0.09028731751472319,-0.04211624632165745,0.004807374728515557,True,True,-0.029347707670082546,stop
2023-04-14,DOW,volatility_compression,27.2,10.6,11.2,5.4,bull_medium,0.615,0.89,14.2,0,-0.040225885875937006,False,0.009880070602008129,-0.07886386161452075,0.004807374728515557,False,False,,no_trigger
2023-04-14,FTNT,volatility_compression,27.0,9.5,10.6,6.9,bull_medium,0.615,0.87,12.3,0,-0.07767702349152605,False,0.005997601361237503,-0.09698655659624544,0.004807374728515557,False,False,,no_trigger
2023-04-14,EOG,volatility_compression,27.0,12.1,6.6,8.2,bull_medium,0.538,0.64,17.8,0,-0.01662696388443652,False,0.003950970165229828,-0.05893499291051818,0.004807374728515557,False,False,,no_trigger
2023-04-14,FCX,volatility_compression,27.0,13.1,4.4,9.4,bull_medium,0.417,0.96,18.8,0,-0.11549217117670896,False,0.004433005693030623,-0.14419049337381873,0.004807374728515557,False,False,,no_trigger
2023-04-14,AON,volatility_compression,26.9,8.0,10.0,8.9,bull_medium,0.615,0.67,9.6,0,-0.0021992839086772964,False,0.02529871339175216,-0.03721038570179602,0.004807374728515557,False,True,-0.02219808383292199,stop
2023-04-14,BAX,volatility_compression,26.8,7.2,12.2,7.4,bull_medium,0.769,0.92,14.4,0,0.103703581478235,True,0.11041667128931709,-0.01111113069182268,0.004807374728515557,True,True,0.05108055009823187,target
2023-04-14,GPN,volatility_compression,26.8,7.8,11.0,8.1,bull_medium,0.615,0.79,11.9,0,0.04875767780968321,True,0.052386591460266585,-0.030147704994453406,0.004807374728515557,True,True,-0.03899562488111086,stop
2023-04-14,ALGN,volatility_compression,26.7,8.6,9.8,8.3,bull_medium,0.615,0.65,13.3,0,-0.05207338909443715,False,0.058571480022890254,-0.09957167611012718,0.004807374728515557,False,True,-0.04990795075365306,stop
2023-04-14,CDNS,volatility_compression,26.6,6.9,12.9,6.8,bull_medium,0.769,0.86,7.6,0,-0.025813967682594474,False,0.003627901299055214,-0.0976279325263445,0.004807374728515557,False,False,,no_trigger
2023-04-14,BKNG,ascending_triangle,26.4,11.8,6.4,8.2,bull_medium,0.538,0.76,16.4,4,0.02064604228081146,True,0.034149304494367705,-0.020767686503166405,0.004807374728515557,True,True,0.015023671819417217,time
2023-04-14,AON,flat_base,26.2,10.6,8.0,7.6,bull_medium,0.615,0.67,14.3,0,-0.0021992839086772964,False,0.02529871339175216,-0.03721038570179602,0.004807374728515557,False,True,-0.021724901037932787,stop
2023-04-14,BLDR,flat_base,26.2,11.8,4.5,10.0,bull_medium,0.462,1.24,19.1,0,0.00701302761060929,True,0.029752449618513976,-0.0426097344620503,0.004807374728515557,True,True,-0.04113624408206207,stop
2023-04-14,ECL,flat_base,26.2,10.6,9.9,5.7,bull_medium,0.692,0.7,14.3,0,0.037394178462986094,True,0.03999012498905641,-0.0016069875618086593,0.004807374728515557,True,True,0.0016821625277898544,time
2023-04-14,GE,flat_base,26.1,11.1,8.5,6.5,bull_medium,0.583,0.9,17.9,0,0.035034385537214385,True,0.06682700064657121,-0.001464137186805159,0.004807374728515557,True,True,0.009246334336719286,time
2023-04-14,LNT,volatility_compression,26.1,7.0,12.0,7.1,bull_medium,0.692,0.75,10.5,0,0.01869647227186033,True,0.025100670027747185,-0.008061685657152151,0.004807374728515557,True,True,-0.0008852996456111262,time
2023-04-14,XOM,bull_flag,26.1,6.0,11.7,8.4,bull_medium,0.692,0.71,2.6,0,0.02467742936064221,True,0.03835828338067793,-0.019568840877720373,0.004807374728515557,True,True,0.007591239590935883,time
2023-04-14,DASH,symmetrical_triangle,25.9,15.3,2.6,8.0,bull_medium,0.462,0.59,22.7,4,-0.006978258887201605,False,0.013145105279641411,-0.08162932272778967,0.004807374728515557,False,True,-0.06978252201266699,stop
2023-04-14,BRK-B,volatility_compression,25.9,7.8,10.4,7.7,bull_medium,0.615,0.72,9.2,0,0.0260773743523115,True,0.026889397324555864,-0.0037476956942005257,0.004807374728515557,True,True,0.019233714263901636,time
2023-04-14,DVA,volatility_compression,25.9,9.4,10.1,6.5,bull_medium,0.615,0.68,13.0,0,0.07699641200221041,True,0.07949938078234675,-0.018474410292825927,0.004807374728515557,True,True,0.04615745079662603,target
2023-04-14,ECL,ascending_triangle,25.8,9.4,9.9,6.5,bull_medium,0.692,0.7,12.0,3,0.037394178462986094,True,0.03999012498905641,-0.0016069875618086593,0.004807374728515557,True,True,0.021554305190357725,time
2023-04-14,ACN,volatility_compression,25.7,8.4,14.0,3.4,bull_medium,0.692,1.07,14.8,0,0.005416389432542967,True,0.0109046867000262,-0.030776708496571548,0.004807374728515557,True,False,,no_trigger
2023-04-14,EMR,ascending_triangle,25.7,9.0,9.3,7.3,bull_medium,0.583,1.39,12.4,3,-0.03600790159330214,False,0.02408238485957015,-0.0701634713179018,0.004807374728515557,False,True,-0.03402187120291611,stop
